ID;TERMS (PT-NPT);RELATIONS;PT;MT
c_715c08c0;3D printing;;;3236 information technology and data processing
c_715c08c0;3DP;USE;3D printing;3236 information technology and data processing
434966;AA;USE;emission allowance;5206 environmental policy
594;AAMS countries;;;7231 economic geography
2894;AAR;USE;activity report;3221 documentation
434966;AAU;USE;emission allowance;5206 environmental policy
5972;ABB;USE;programme budgeting;2436 public finance and budget policy
3509;ABM Agreement;;;0816 international security
447917;ACER;USE;European Union Agency for the Cooperation of Energy Regulators;1006 EU institutions and European civil service
450953;ACHPR;USE;African Court of Justice and Human Rights;7616 extra-European organisations
450953;ACJ;USE;African Court of Justice and Human Rights;7616 extra-European organisations
450953;ACJHR;USE;African Court of Justice and Human Rights;7616 extra-European organisations
5083;ACP countries;;;7231 economic geography
4051;ACP-EC Committee of Ambassadors;USE;ACP-EU Committee of Ambassadors;1016 European construction
4049;ACP-EC Convention;USE;ACP-EU Convention;1016 European construction
4041;ACP-EC Council;USE;ACP-EU Council of Ministers;1016 European construction
4041;ACP-EC Council of Ministers;USE;ACP-EU Council of Ministers;1016 European construction
5132;ACP-EC Joint Assembly;USE;ACP-EU Joint Assembly;1016 European construction
4052;ACP-EC Joint Committee;USE;ACP-EU Joint Committee;1016 European construction
1450;ACP-EC institution;USE;ACP-EU institution;1016 European construction
5132;ACP-EEC Consultative Assembly;USE;ACP-EU Joint Assembly;1016 European construction
4051;ACP-EU Committee of Ambassadors;;;1016 European construction
4049;ACP-EU Convention;;;1016 European construction
4041;ACP-EU Council of Ministers;;;1016 European construction
5132;ACP-EU Joint Assembly;;;1016 European construction
4052;ACP-EU Joint Committee;;;1016 European construction
442821;ACP-EU cooperation;USE;ACP-EU relationship;1016 European construction
1450;ACP-EU institution;;;1016 European construction
442821;ACP-EU relationship;;;1016 European construction
7415;ACS;USE;Association of Caribbean States;7616 extra-European organisations
8542;AD function group;USE;administrator;1006 EU institutions and European civil service
6336;ADB;USE;Asian Development Bank;7616 extra-European organisations
4744;ADB Group;USE;African Development Bank;7616 extra-European organisations
3700;ADN agreement;;;4821 maritime and inland waterway transport
3700;ADNR agreement;USE;ADN agreement;4821 maritime and inland waterway transport
1195;ADR;USE;ADR agreement;4816 land transport
435469;ADR;USE;alternative dispute resolution;1221 justice
1195;ADR agreement;;;4816 land transport
1283;AETR agreement;;;4816 land transport
6222;AFSJ;USE;area of freedom, security and justice;1016 European construction
5530;AGCC;USE;Gulf Cooperation Council;7616 extra-European organisations
c_8150867f;AGP;USE;agreement on government procurement;2021 international trade
5172;AIDS;;;2841 health
c_dcc650ef;AIF;USE;alternative investment;2416 financial institutions and credit
c_dcc650ef;AIFM;USE;alternative investment;2416 financial institutions and credit
1094;ALADI;;;7616 extra-European organisations
1105;ALADI countries;;;7231 economic geography
2102;AMCO;USE;African and Mauritian Common Organisation;7616 extra-European organisations
c_7dda56e2;AMR;USE;antimicrobial resistance;2841 health
8300;AMU;USE;Arab Maghreb Union;7616 extra-European organisations
3725;APDC;USE;Asian and Pacific Development Centre;7616 extra-European organisations
6131;APEC;USE;Asia–Pacific economic cooperation;7616 extra-European organisations
6131;APEC;USE;Asia–Pacific economic cooperation;7621 world organisations
6205;APEC countries;;;7231 economic geography
6377;APL;USE;anti-personnel weapon;0821 defence
2094;APO;USE;Asian Productivity Organisation;7616 extra-European organisations
4615;APPU;USE;Asian-Pacific Parliamentarians' Union;7616 extra-European organisations
448275;ARTEMIS Joint Undertaking;USE;European Joint Undertaking;1006 EU institutions and European civil service
1838;ASEAN;;;7616 extra-European organisations
1847;ASEAN countries;;;7231 economic geography
c_433922a6;ASP;USE;cloud computing;3236 information technology and data processing
120;ASPAC;USE;Asian and Pacific Council;7616 extra-European organisations
8407;AST function group;USE;assistant;1006 EU institutions and European civil service
3248;ATM;USE;electronic banking;2416 financial institutions and credit
5401;ATP Agreement;;;4811 organisation of transport
2202;AU;USE;African Union;7616 extra-European organisations
5075;Abruzzi;;;7211 regions of EU Member States
5761;Ad Hoc Group on Immigration;USE;EU body for police and judicial cooperation;1016 European construction
4775;Aden protectorate;USE;Yemen;7226 Asia and Oceania
4775;Aden protectorate;USE;Yemen;7231 economic geography
4775;Aden protectorate;USE;Yemen;7236 political geography
c_46e54685;Adriatic Croatia;;;7211 regions of EU Member States
5221;Adriatic Sea;;;5211 natural environment
c_a6b5bad0;Adriatic and Ionian region;;;1616 regions and regional policy
446;Advanced Level;USE;diploma;3216 organisation of teaching
4043;Advocate-General (CJUE);USE;member of the Court of Justice (EU);1006 EU institutions and European civil service
4171;Aegean Islands;;;7211 regions of EU Member States
5223;Aegean Sea;;;5211 natural environment
4744;AfDB Group;USE;African Development Bank;7616 extra-European organisations
484;Afars and Issas;USE;Djibouti;7221 Africa
484;Afars and Issas;USE;Djibouti;7231 economic geography
484;Afars and Issas;USE;Djibouti;7236 political geography
261;Afghanistan;;;7226 Asia and Oceania
281;Africa;;;7221 Africa
5424;Africa south of the Sahara;USE;sub-Saharan Africa;7221 Africa
6077;African Charter for Human and Peoples' Rights;USE;African Charter on Human and Peoples' Rights;1236 rights and freedoms
6077;African Charter on Human and Peoples' Rights;;;1236 rights and freedoms
450953;African Court of Justice;USE;African Court of Justice and Human Rights;7616 extra-European organisations
450953;African Court of Justice and Human Rights;;;7616 extra-European organisations
450953;African Court on Human and Peoples' Rights;USE;African Court of Justice and Human Rights;7616 extra-European organisations
4744;African Development Bank;;;7616 extra-European organisations
4744;African Development Bank Group;USE;African Development Bank;7616 extra-European organisations
2202;African Union;;;7616 extra-European organisations
2202;African Unity Organisation;USE;African Union;7616 extra-European organisations
2202;African Unity Organization;USE;African Union;7616 extra-European organisations
2102;African and Mauritian Common Organisation;;;7616 extra-European organisations
2102;African and Mauritian Common Organization;USE;African and Mauritian Common Organisation;7616 extra-European organisations
281;African countries;USE;Africa;7221 Africa
5423;African countries with Portuguese as the official language;USE;Portuguese-speaking Africa;7221 Africa
2167;African intergovernmental organisation;USE;African organisation;7616 extra-European organisations
2167;African intergovernmental organization;USE;African organisation;7616 extra-European organisations
2167;African organisation;;;7616 extra-European organisations
2167;African organization;USE;African organisation;7616 extra-European organisations
2167;African regional organisation;USE;African organisation;7616 extra-European organisations
2167;African regional organization;USE;African organisation;7616 extra-European organisations
2102;Afro-Malagasy Organization for Economic Cooperation;USE;African and Mauritian Common Organisation;7616 extra-European organisations
2102;Afro-Malagasy Union for Economic Cooperation;USE;African and Mauritian Common Organisation;7616 extra-European organisations
447917;Agency for the Cooperation of Energy Regulators;USE;European Union Agency for the Cooperation of Energy Regulators;1006 EU institutions and European civil service
